step	status	merfin	legend	type	total_truth	true_positives	false_negatives	false_positives	recall	precision	F1score
Unpolished	Unpolished	1	2	INDEL	525,470	301,381	224,089	7,777,466	0.573546	0.038368	0.071924
Unpolished	Unpolished	2	3	INDEL	525,470	301,381	224,089	7,777,466	0.573546	0.038368	0.071924
Unpolished	Unpolished	1	2	SNP	3,365,127	3,206,617	158,510	413,717	0.952896	0.885794	0.91812
Unpolished	Unpolished	2	3	SNP	3,365,127	3,206,617	158,510	413,717	0.952896	0.885794	0.91812
round1	Regular	1	2	INDEL	525,468	359,897	165,571	1,784,307	0.684908	0.171811	0.27471
round1	Regular	1	2	SNP	3,365,127	3,286,281	78,846	205,766	0.97657	0.941125	0.95852
round1	Merfin	2	2	INDEL	525,469	373,523	151,946	1,360,968	0.710837	0.220476	0.336563
round1	Merfin	3	3	INDEL	525,469	373,523	151,946	1,360,968	0.710837	0.220476	0.336563
round1	Merfin	2	2	SNP	3,365,127	3,264,212	100,915	188,315	0.970012	0.945503	0.957601
round1	Merfin	3	3	SNP	3,365,127	3,264,212	100,915	188,315	0.970012	0.945503	0.957601
round2	Regular	2	2	INDEL	525,469	365,783	159,686	1,439,376	0.696108	0.206941	0.319037
round2	Regular	2	2	SNP	3,365,127	3,268,348	96,779	170,557	0.971241	0.950447	0.960732
round2	Merfin	3	3	INDEL	525,469	383,433	142,036	1,019,413	0.729697	0.279025	0.403687
round2	Merfin	3	3	SNP	3,365,127	3,272,814	92,313	150,364	0.972568	0.956115	0.964271
