QUAL	errors	total	qv	p	type	species
0	15587140	960121719	31.084	0.000779114	p	fArcCen1
1	15587140	960121719	31.084	0.000779114	p	fArcCen1
2	15587076	960121708	31.084	0.000779111	p	fArcCen1
3	15573254	960121780	31.0879	0.000778414	p	fArcCen1
4	15195127	960128498	31.1955	0.000759364	p	fArcCen1
5	14655354	960140523	31.3538	0.000732182	p	fArcCen1
6	14263441	960148404	31.4724	0.000712456	p	fArcCen1
7	13963515	960154694	31.5654	0.000697365	p	fArcCen1
8	13722435	960159983	31.6416	0.000685238	p	fArcCen1
9	13535612	960163717	31.7015	0.000675843	p	fArcCen1
10	13385606	960167948	31.7503	0.0006683	p	fArcCen1
11	13270093	960171090	31.7882	0.000662492	p	fArcCen1
12	13177180	960173493	31.8189	0.000657821	p	fArcCen1
13	13107169	960175493	31.8422	0.000654302	p	fArcCen1
14	13055720	960176599	31.8594	0.000651716	p	fArcCen1
15	13016971	960177501	31.8724	0.000649768	p	fArcCen1
16	12989428	960178182	31.8817	0.000648384	p	fArcCen1
17	12971355	960178030	31.8878	0.000647476	p	fArcCen1
18	12967772	960177683	31.889	0.000647296	p	fArcCen1
19	12968231	960177451	31.8888	0.00064732	p	fArcCen1
20	12973996	960176777	31.8869	0.00064761	p	fArcCen1
21	12987800	960176275	31.8822	0.000648304	p	fArcCen1
22	13005917	960175262	31.8761	0.000649215	p	fArcCen1
23	13031615	960174249	31.8675	0.000650506	p	fArcCen1
24	13060165	960172775	31.8579	0.000651942	p	fArcCen1
25	13089397	960171033	31.8481	0.000653412	p	fArcCen1
26	13122549	960170127	31.8371	0.000655078	p	fArcCen1
27	13156544	960168246	31.8257	0.000656788	p	fArcCen1
28	13193507	960166570	31.8135	0.000658646	p	fArcCen1
29	13230723	960165096	31.8012	0.000660518	p	fArcCen1
30	13270766	960163958	31.7879	0.000662531	p	fArcCen1
31	13311608	960161508	31.7745	0.000664585	p	fArcCen1
32	13352084	960158987	31.7612	0.000666621	p	fArcCen1
33	13392630	960156397	31.7479	0.000668661	p	fArcCen1
34	13433819	960154289	31.7345	0.000670733	p	fArcCen1
35	13476793	960152190	31.7205	0.000672894	p	fArcCen1
36	13518916	960150080	31.7069	0.000675013	p	fArcCen1
37	13561946	960147679	31.693	0.000677178	p	fArcCen1
38	13604940	960145604	31.6791	0.000679341	p	fArcCen1
39	13647071	960143667	31.6656	0.000681461	p	fArcCen1
40	13689860	960140952	31.6519	0.000683614	p	fArcCen1
41	13733447	960139650	31.638	0.000685806	p	fArcCen1
42	13777601	960136830	31.6239	0.000688029	p	fArcCen1
43	13817812	960133894	31.6112	0.000690053	p	fArcCen1
44	13860008	960131619	31.5978	0.000692176	p	fArcCen1
45	13902252	960130111	31.5845	0.000694302	p	fArcCen1
46	13942353	960127591	31.5719	0.00069632	p	fArcCen1
47	13982542	960126492	31.5593	0.000698342	p	fArcCen1
48	14023206	960125435	31.5466	0.000700388	p	fArcCen1
49	14063072	960123628	31.5342	0.000702395	p	fArcCen1
50	14103606	960121667	31.5216	0.000704435	p	fArcCen1
51	14144851	960119637	31.5088	0.000706511	p	fArcCen1
52	14183274	960117840	31.4969	0.000708446	p	fArcCen1
53	14222758	960116076	31.4848	0.000710433	p	fArcCen1
54	14261112	960114769	31.473	0.000712364	p	fArcCen1
55	14299471	960113083	31.4612	0.000714295	p	fArcCen1
56	14337629	960111295	31.4496	0.000716216	p	fArcCen1
57	14374434	960108813	31.4383	0.00071807	p	fArcCen1
58	14411443	960107304	31.4271	0.000719933	p	fArcCen1
59	14449287	960104987	31.4156	0.000721839	p	fArcCen1
60	14483546	960102796	31.4052	0.000723564	p	fArcCen1
61	14520035	960101181	31.3942	0.000725402	p	fArcCen1
62	14555483	960099263	31.3835	0.000727187	p	fArcCen1
63	14591999	960097690	31.3726	0.000729026	p	fArcCen1
64	14628592	960096547	31.3616	0.000730869	p	fArcCen1
65	14662446	960095086	31.3515	0.000732574	p	fArcCen1
66	14697783	960093506	31.3409	0.000734353	p	fArcCen1
67	14731018	960092585	31.3311	0.000736027	p	fArcCen1
68	14764421	960091796	31.3211	0.000737709	p	fArcCen1
69	14796821	960089569	31.3115	0.000739342	p	fArcCen1
